"club_id","draw","goals_conceded","goals_scored","league_standing","loss","plus_minus","Points","season","team_link","team_name","total_matches","wins"
989,19,61,48,"15",9,-13,39,"2019","https://www.transfermarkt.com/afc-bournemouth/spielplan/verein/989/saison_id/2019","Bournemouth",38,10
1010,18,64,40,"16",11,-24,38,"2019","https://www.transfermarkt.com/fc-watford/spielplan/verein/1010/saison_id/2019","Watford",38,9
1237,20,61,37,"17",10,-24,34,"2019","https://www.transfermarkt.com/brighton-amp-hove-albion/spielplan/verein/1237/saison_id/2019","Brighton",38,8
350,5,19,23,"18",8,4,29,"2019","https://www.transfermarkt.com/sheffield-united/spielplan/verein/350/saison_id/2019","Sheffield Utd.",20,7
405,12,36,25,"19",3,-11,18,"2019","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2019","Aston Villa",20,5
603,12,31,15,"20",1,-16,16,"2019","https://www.transfermarkt.com/cardiff-city/spielplan/verein/603/saison_id/2019","Cardiff",18,5
1123,13,40,21,"21",4,-19,13,"2019","https://www.transfermarkt.com/norwich-city/spielplan/verein/1123/saison_id/2019","Norwich",20,3
931,14,38,16,"22",0,-22,12,"2019","https://www.transfermarkt.com/fc-fulham/spielplan/verein/931/saison_id/2019","Fulham",18,4
1110,14,41,10,"23",3,-31,6,"2019","https://www.transfermarkt.com/huddersfield-town/spielplan/verein/1110/saison_id/2019","Huddersfield",18,1
11,7,31,70,"1",6,39,81,"2015","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2015","Arsenal",38,25
281,10,41,79,"2",6,38,72,"2015","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2015","Man City",38,22
148,8,44,67,"3",11,23,68,"2015","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2015","Spurs",38,19
1003,9,49,66,"4",10,17,67,"2015","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2015","Leicester",38,19
985,10,34,51,"5",10,17,64,"2015","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2015","Man Utd",38,18
31,10,45,48,"6",10,3,64,"2015","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2015","Liverpool",38,18
873,13,37,50,"7",6,13,63,"2015","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2015","Crystal Palace",38,19
631,11,47,55,"8",10,8,61,"2015","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2015","Chelsea",38,17
512,12,41,47,"9",10,6,58,"2015","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2015","Stoke City",38,16
29,12,47,54,"10",13,7,52,"2015","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2015","Everton",38,13
180,15,41,48,"11",9,7,51,"2015","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2015","Southampton",38,14
984,14,47,38,"12",11,-9,50,"2015","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2015","West Brom",38,13
2288,15,50,38,"13",11,-12,47,"2015","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2015","Swansea",38,12
379,13,47,42,"14",15,-5,45,"2015","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2015","West Ham",38,10
289,22,64,34,"15",9,-30,30,"2015","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2015","Sunderland",38,7
762,22,69,37,"16",9,-32,30,"2015","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2015","Newcastle",38,7
1010,6,20,24,"17",5,4,29,"2015","https://www.transfermarkt.com/fc-watford/spielplan/verein/1010/saison_id/2015","Watford",19,8
405,25,69,35,"18",7,-34,25,"2015","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2015","Aston Villa",38,6
1123,9,32,22,"19",5,-10,20,"2015","https://www.transfermarkt.com/norwich-city/spielplan/verein/1123/saison_id/2015","Norwich",19,5
989,9,34,22,"20",5,-12,20,"2015","https://www.transfermarkt.com/afc-bournemouth/spielplan/verein/989/saison_id/2015","Bournemouth",19,5
3008,10,25,15,"21",4,-10,19,"2015","https://www.transfermarkt.com/hull-city/spielplan/verein/3008/saison_id/2015","Hull City",19,5
1132,10,24,14,"22",5,-10,17,"2015","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2015","Burnley",19,4
1039,13,39,21,"23",3,-18,12,"2015","https://www.transfermarkt.com/queens-park-rangers/spielplan/verein/1039/saison_id/2015","QPR",19,3
281,5,31,99,"1",4,68,88,"2018","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2018","Man City",37,28
31,3,22,84,"2",7,62,88,"2018","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2018","Liverpool",37,27
148,7,37,78,"3",4,41,85,"2018","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2018","Spurs",38,27
985,9,44,66,"4",6,22,72,"2018","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2018","Man Utd",37,22
631,9,40,61,"5",8,21,68,"2018","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2018","Chelsea",37,20
11,12,55,78,"6",6,23,63,"2018","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2018","Arsenal",37,19
379,15,60,53,"7",9,-7,51,"2018","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2018","West Ham",38,14
989,15,66,53,"8",8,-13,50,"2018","https://www.transfermarkt.com/afc-bournemouth/spielplan/verein/989/saison_id/2018","Bournemouth",37,14
29,14,56,50,"9",10,-6,49,"2018","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2018","Everton",37,13
1003,15,51,49,"10",9,-2,48,"2018","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2018","Leicester",37,13
873,17,49,44,"11",8,-5,44,"2018","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2018","Crystal Palace",37,12
1010,17,55,41,"12",8,-14,44,"2018","https://www.transfermarkt.com/fc-watford/spielplan/verein/1010/saison_id/2018","Watford",37,12
762,16,44,35,"13",10,-9,43,"2018","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2018","Newcastle",37,11
1237,16,56,41,"14",10,-15,43,"2018","https://www.transfermarkt.com/brighton-amp-hove-albion/spielplan/verein/1237/saison_id/2018","Brighton",37,11
1132,20,63,37,"15",8,-26,35,"2018","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2018","Burnley",37,9
180,18,64,38,"16",13,-26,31,"2018","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2018","Southampton",37,6
543,7,23,23,"17",5,0,29,"2018","https://www.transfermarkt.com/wolverhampton-wanderers/spielplan/verein/543/saison_id/2018","Wolves",20,8
1110,24,61,22,"18",8,-39,23,"2018","https://www.transfermarkt.com/huddersfield-town/spielplan/verein/1110/saison_id/2018","Huddersfield",37,5
603,12,38,19,"19",3,-19,18,"2018","https://www.transfermarkt.com/cardiff-city/spielplan/verein/603/saison_id/2018","Cardiff",20,5
2288,8,24,15,"20",5,-9,17,"2018","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2018","Swansea",17,4
984,10,28,16,"21",3,-12,15,"2018","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2018","West Brom",17,4
931,12,43,18,"22",5,-25,14,"2018","https://www.transfermarkt.com/fc-fulham/spielplan/verein/931/saison_id/2018","Fulham",20,3
512,8,22,12,"23",7,-10,13,"2018","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2018","Stoke City",17,2
281,2,30,102,"1",8,72,98,"2017","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2017","Man City",40,30
631,7,34,82,"2",5,48,89,"2017","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2017","Chelsea",40,28
