"away_score","away_team","club_id","club_name","coach","competition_name","home_score","home_team","match_date","match_result_link","match_time","match_type","play_style","result","season"
2,"Cardiff",603,"Cardiff","Malky Mackay","EFL Cup",0,"Accrington","28-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2360841","8:45 PM","Second Round","4-4-2","0:2 ","2013"
2,"Cardiff",603,"Cardiff","Malky Mackay","EFL Cup",3,"West Ham","24-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2366874","8:45 PM","Third Round","4-4-2 double 6","3:2 ","2013"
1,"Sheff Wed",1039,"QPR","Harry Redknapp","Championship",2,"QPR","03-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2345054","4:00 PM","1","4-4-2","2:1 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Huddersfield","10-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332873","4:00 PM","2","4-4-2","1:1 ","2013"
0,"Ipswich",1039,"QPR","Harry Redknapp","Championship",1,"QPR","17-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332967","4:00 PM","3","4-4-2","1:0 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Bolton","24-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332947","1:15 PM","4","4-4-2 double 6","0:1 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Leeds","31-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332949","1:15 PM","5","4-4-2","0:1 ","2013"
0,"Birmingham",1039,"QPR","Harry Redknapp","Championship",1,"QPR","14-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332955","4:00 PM","6","4-4-2 double 6","1:0 ","2013"
0,"Brighton",1039,"QPR","Harry Redknapp","Championship",0,"QPR","18-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332940","8:45 PM","7","4-2-3-1","0:0 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Yeovil Town","21-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332934","4:00 PM","8","4-2-3-1","0:1 ","2013"
0,"Middlesbrough",1039,"QPR","Harry Redknapp","Championship",2,"QPR","28-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332923","4:00 PM","9","4-2-3-1","2:0 ","2013"
